x(mm),film_Dose_X(Gy/MU)
-14.4,0.00328
-14.3,0.0033
-14.2,0.00336
-14.1,0.00343
-14,0.00354
-13.9,0.00362
-13.8,0.00369
-13.7,0.00371
-13.6,0.00374
-13.5,0.00378
-13.4,0.00384
-13.3,0.00394
-13.2,0.00397
-13.1,0.00402
-13,0.00413
-12.9,0.0042
-12.8,0.00422
-12.7,0.0043
-12.6,0.00446
-12.5,0.00453
-12.4,0.00455
-12.3,0.00457
-12.2,0.00459
-12.1,0.00464
-12,0.00482
-11.9,0.0049
-11.8,0.00486
-11.7,0.00494
-11.6,0.00506
-11.5,0.00508
-11.4,0.00511
-11.3,0.0052
-11.2,0.00531
-11.1,0.00545
-11,0.00548
-10.9,0.00555
-10.8,0.00561
-10.7,0.00559
-10.6,0.0057
-10.5,0.00584
-10.4,0.00588
-10.3,0.00588
-10.2,0.00597
-10.1,0.00606
-10,0.00603
-9.9,0.00605
-9.8,0.00621
-9.7,0.00634
-9.6,0.00635
-9.5,0.00639
-9.4,0.00649
-9.3,0.00661
-9.2,0.00671
-9.1,0.00669
-9,0.00684
-8.9,0.00707
-8.8,0.00719
-8.7,0.00708
-8.6,0.00698
-8.5,0.00715
-8.4,0.00735
-8.3,0.00744
-8.2,0.00749
-8.1,0.0076
-8,0.00772
-7.9,0.00775
-7.8,0.0078
-7.7,0.00785
-7.6,0.00792
-7.5,0.00817
-7.4,0.00824
-7.3,0.00818
-7.2,0.00824
-7.1,0.00822
-7,0.00821
-6.9,0.00837
-6.8,0.00848
-6.7,0.00852
-6.6,0.00849
-6.5,0.00854
-6.4,0.00866
-6.3,0.00874
-6.2,0.00893
-6.1,0.00898
-6,0.00904
-5.9,0.00908
-5.8,0.00899
-5.7,0.00912
-5.6,0.00932
-5.5,0.00936
-5.4,0.0093
-5.3,0.00936
-5.2,0.00949
-5.1,0.00945
-5,0.00953
-4.9,0.0098
-4.8,0.00985
-4.7,0.00981
-4.6,0.01
-4.5,0.0102
-4.4,0.01011
-4.3,0.00995
-4.2,0.01
-4.1,0.01003
